date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:44	67/67	U-----	200	untouched ('OK')	text/plain	date:Sat,%2027%20May%202017%2016:11:56%20GMT	http://video.sproutfund.org/robots.txt		(from )
13:09:44	49947/49947	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2017:09:43%20GMT	http://video.sproutfund.org/	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/index.html	(from )
13:09:45	2308/2308	---M--	200	added ('OK')	application/json	date:Sat,%2027%20May%202017%2017:09:43%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed873f.json	(from http://video.sproutfund.org/)
13:09:45	1/1	U-----	200	untouched ('OK')	text/html	date:Sat,%2027%20May%202017%2016:11:58%20GMT	http://video.sproutfund.org/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/ajax.php	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/ajax.html	(from http://video.sproutfund.org/)
13:09:46	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2027%20May%202017%2017:09:44%20GMT	http://video.sproutfund.org/xmlrpc.php	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/xmlrpc.php	(from http://video.sproutfund.org/)
13:09:46	3375/3375	---M--	200	added ('OK')	image/png	etag:%2258cab017-d2f%22	http://video.sproutfund.org/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/images/filmvideo_logo.png	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/images/filmvideo_logo.png	(from http://video.sproutfund.org/)
13:09:46	1072/1072	U--MC-	200	updated ('OK')	application/rss+xml	etag:%220e1a4d64665c663653f0807045d9776b-gzip%22	http://video.sproutfund.org/comments/feed/	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/comments/feed/index.html	(from http://video.sproutfund.org/)
13:09:46	374/374	U-----	200	untouched ('OK')	text/css	etag:%225928bbd1-176%22	http://video.sproutfund.org/wp-content/plugins/wp-pagenavi/pagenavi-css.css?ver=2.70	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-content/plugins/wp-pagenavi/pagenavi-css44fd.css	(from http://video.sproutfund.org/)
13:09:48	272/272	U-----	200	untouched ('OK')	text/css	etag:%2258cab05a-110%22	http://video.sproutfund.org/wp-content/plugins/pullquote-shortcode/css/pullquote-shortcode.css?ver=0.1	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-content/plugins/pullquote-shortcode/css/pullquote-shortcodeb3e8.css	(from http://video.sproutfund.org/)
13:09:48	78656/78656	U-----	200	untouched ('OK')	text/css	etag:W/%2258cab017-13340%22	http://video.sproutfund.org/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/style.css?ver=1.4.3	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/style370e.css	(from http://video.sproutfund.org/)
