date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:48	67/67	U-----	200	untouched ('OK')	text/plain	date:Sat,%2027%20May%202017%2016:11:56%20GMT	http://video.sproutfund.org/robots.txt		(from )
12:50:49	49947/49947	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:47%20GMT	http://video.sproutfund.org/	D:/Backup/WinHTTrack/filmandvideo/index-2.html	(from )
12:50:49	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2027%20May%202017%2016:50:48%20GMT	http://video.sproutfund.org/xmlrpc.php	D:/Backup/WinHTTrack/filmandvideo/xmlrpc.php	(from http://video.sproutfund.org/)
12:50:49	1/1	U-----	200	untouched ('OK')	text/html	date:Sat,%2027%20May%202017%2016:11:58%20GMT	http://video.sproutfund.org/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/ajax.php	D:/Backup/WinHTTrack/filmandvideo/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/ajax.html	(from http://video.sproutfund.org/)
12:50:50	374/374	U-----	200	untouched ('OK')	text/css	etag:%225928bbd1-176%22	http://video.sproutfund.org/wp-content/plugins/wp-pagenavi/pagenavi-css.css?ver=2.70	D:/Backup/WinHTTrack/filmandvideo/wp-content/plugins/wp-pagenavi/pagenavi-css44fd.css	(from http://video.sproutfund.org/)
12:50:50	1072/1072	U--MC-	200	updated ('OK')	application/rss+xml	etag:%22549c0572777c2f044e1027d1cd42d3c7-gzip%22	http://video.sproutfund.org/comments/feed/	D:/Backup/WinHTTrack/filmandvideo/comments/feed/index.html	(from http://video.sproutfund.org/)
12:50:50	272/272	U-----	200	untouched ('OK')	text/css	etag:%2258cab05a-110%22	http://video.sproutfund.org/wp-content/plugins/pullquote-shortcode/css/pullquote-shortcode.css?ver=0.1	D:/Backup/WinHTTrack/filmandvideo/wp-content/plugins/pullquote-shortcode/css/pullquote-shortcodeb3e8.css	(from http://video.sproutfund.org/)
12:50:50	78656/78656	U-----	200	untouched ('OK')	text/css	etag:W/%2258cab017-13340%22	http://video.sproutfund.org/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/style.css?ver=1.4.3	D:/Backup/WinHTTrack/filmandvideo/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/style370e.css	(from http://video.sproutfund.org/)
12:50:50	97184/97184	U-----	200	untouched ('OK')	application/x-javascript	etag:W/%225742c6ad-17ba0%22	http://video.sproutfund.org/wp-includes/js/jquery/jquery.js	D:/Backup/WinHTTrack/filmandvideo/wp-includes/js/jquery/jquery.js	(from http://video.sproutfund.org/)
12:50:50	7335/7335	U-----	200	untouched ('OK')	text/css	etag:W/%2258cab017-1ca7%22	http://video.sproutfund.org/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/responsive.css?ver=1.4.3	D:/Backup/WinHTTrack/filmandvideo/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/responsive370e.css	(from http://video.sproutfund.org/)
